	tmisrib_a_hek	tmisrib_b_hek	untr_a_hek	untr_b_hek	ribo_tmisrib_a	ribo_tmisrib_b	ribo_untr_a	ribo_untr_b
DIABLO	935	1325	548	520	459	491	654	908
DIAPH1	1569	3270	2155	1960	793	797	842	1329
DIAPH2	1426	2260	1134	1057	156	170	220	287
DIAPH3	1845	2655	1465	1499	361	425	474	674
DICER1	5782	8219	4353	4068	629	711	825	1096
DIDO1	2706	4140	2295	2034	516	515	695	979
DIEXF	1672	2470	1027	1009	220	291	323	446
DIMT1	1013	1406	619	493	265	328	382	487
DIP2A	749	1210	688	573	166	191	212	306
DIP2B	2164	3152	1600	1416	588	628	768	1149
DIP2C	294	525	299	236	197	192	225	328
DIRAS1	71	69	34	37	88	71	86	117
DIRC2	323	491	195	196	134	147	174	239
DIS3	5372	7652	3447	3369	917	1094	1319	1707
DIS3L	2010	2950	1472	1283	239	314	336	506
DIS3L2	516	840	480	431	120	116	169	205
DISC1	144	223	104	100	28	15	22	29
DISP1	229	332	143	110	36	45	38	57
DIXDC1	214	285	139	156	47	53	85	96
DKC1	5504	7230	3737	3692	1290	1360	1587	2337
DKFZp434J194	127	181	111	97	0	0	1	0
DKFZp434K1323	147	207	138	136	116	176	171	302
DKFZp547E087	1163	1927	1213	1180	60	40	56	56
DLAT	2959	4196	1866	1687	946	989	1125	1680
DLC1	365	584	307	216	180	246	278	381
DLD	3506	4727	2304	2231	3337	3538	4364	5937
DLG1	1508	2202	1038	888	296	353	382	504
DLG3	383	545	292	234	160	201	237	255
DLG4	40	75	35	32	5	5	12	4
DLG5	1009	1624	959	849	253	244	298	461
DLGAP4	86	126	95	63	67	91	145	151
DLGAP5	4600	6461	2842	2528	1101	1320	1611	2031
DLL1	50	67	50	48	36	38	44	66
DLST	1264	1879	942	875	1022	1154	1412	1855
DLX1	117	166	90	85	46	46	66	92
DLX2	167	277	164	104	375	440	521	892
DMAP1	513	704	405	414	335	354	441	717
DMC1	254	312	161	150	3	7	18	14
DMD	147	219	98	70	128	147	178	208
DMKN	589	702	307	251	331	347	542	616
DMPK	201	349	237	195	18	12	16	8
DMTF1	2037	2841	1288	1131	120	142	157	178
DMWD	438	688	465	343	118	116	152	276
DMXL1	3050	4579	2312	1911	696	879	938	1203
DMXL2	2458	3517	1714	1529	487	494	548	718
DNA2	1836	2800	1482	1359	558	626	749	941
DNAAF2	692	1007	523	464	121	165	266	332
DNAAF3	82	104	46	35	17	16	22	29
DNAH1	346	592	357	287	37	13	17	6
DNAH11	355	558	277	274	57	28	56	41
DNAH14	2814	4192	2221	2052	264	331	386	529
DNAH6	256	396	218	203	13	26	27	22
DNAH7	100	146	84	71	14	15	20	16
DNAJA1	8640	10988	5309	5251	2083	2471	3042	4783
DNAJA2	2949	4037	1968	1978	945	1191	1362	2012
DNAJA3	1938	2610	1310	1186	566	584	784	1098
DNAJB1	1133	1495	725	656	500	469	831	1309
DNAJB11	1331	1776	824	746	612	664	737	980
DNAJB12	605	816	362	332	345	379	500	639
DNAJB14	496	713	340	364	109	136	185	210
DNAJB2	63	81	27	33	64	94	128	183
DNAJB4	245	338	178	145	37	60	79	96
DNAJB5	58	84	47	40	22	27	35	54
DNAJB6	1545	2140	938	968	664	686	878	1400
DNAJB9	187	255	92	69	56	93	91	131
DNAJC1	793	1159	538	498	406	426	440	620
DNAJC10	4297	6041	2949	2801	354	398	440	563
DNAJC11	1745	2684	1499	1510	561	634	725	1216
DNAJC12	261	373	169	153	155	167	261	311
DNAJC13	3714	5352	2896	2756	434	483	610	799
DNAJC14	2818	3930	1853	1821	937	967	1255	1636
DNAJC16	381	528	301	240	170	173	238	330
DNAJC17	318	382	214	215	64	69	81	130
DNAJC18	267	387	219	166	214	258	290	368
DNAJC19	665	931	403	350	133	166	190	218
DNAJC2	2562	3345	1747	1766	552	624	786	1042
DNAJC21	1378	1735	910	852	378	398	478	679
DNAJC24	201	298	123	108	32	37	65	65
DNAJC25	257	393	158	171	31	26	30	45
DNAJC27	45	72	53	42	1	11	8	8
DNAJC28	61	89	42	42	12	23	31	39
DNAJC3	1102	1524	785	783	306	301	357	481
DNAJC30	58	70	39	34	51	65	72	129
DNAJC4	53	94	23	15	17	23	31	36
DNAJC5	357	565	274	254	274	340	460	607
DNAJC6	497	684	319	232	287	364	434	534
DNAJC7	4112	5362	2686	2565	1219	1350	1723	2343
DNAJC8	4135	5556	2764	2918	1118	1281	1609	2142
DNAJC9	1725	2437	1088	1095	516	494	632	933
DNAL1	145	255	163	153	48	65	62	115
DNAL4	87	130	51	54	26	30	46	52
DNASE1L1	271	389	181	169	31	42	41	77
DNASE2	430	536	208	195	316	342	376	519
DNHD1	182	346	248	186	14	6	3	2
DNLZ	115	134	60	69	48	39	52	93
DNM1	198	374	206	161	189	196	235	309
DNM1L	3430	4989	2212	2012	1172	1463	1642	2205
DNM2	2701	3950	1897	1626	1262	1383	1681	2564
DNM3	204	265	162	128	39	28	46	53
DNMBP	305	478	326	276	180	190	212	309
DNMT1	6560	10283	5493	4887	2562	2826	3538	5465
DNMT3A	282	397	230	208	114	105	141	255
DNMT3B	590	928	413	357	117	142	161	264
DNPEP	716	960	401	335	311	312	421	608
DNPH1	599	845	488	416	461	442	601	774
DNTTIP1	654	832	472	470	545	569	744	1115
DNTTIP2	5763	7649	3651	3398	523	713	838	924
DOC2A	35	79	36	28	12	12	31	33
DOCK1	2673	3999	2155	1909	339	320	447	614
DOCK11	1417	2061	972	926	373	413	491	561
DOCK3	661	1102	619	508	68	54	68	98
DOCK4	980	1479	696	596	446	442	547	726
DOCK5	598	1021	565	497	185	191	249	299
DOCK6	145	299	193	149	99	76	132	148
DOCK7	4603	7064	3404	3049	836	954	1158	1458
DOCK8	57	118	54	65	60	75	79	105
DOCK9	858	1286	621	554	149	149	196	238
DOHH	153	230	97	98	96	106	146	222
DOK1	89	148	73	60	8	7	17	30
DOK3	44	65	43	32	1	3	4	3
DOK4	53	75	25	19	24	18	31	47
DOLK	401	498	237	173	211	225	256	440
DOLPP1	311	436	161	136	203	212	244	445
DOM3Z	354	501	265	249	177	188	268	352
DONSON	1526	2265	1013	950	494	594	775	985
DOPEY1	2658	3829	1882	1684	372	395	474	638
DOPEY2	390	682	394	343	267	263	288	438
DOT1L	550	986	659	554	168	165	242	358
DPAGT1	335	466	170	172	262	287	359	542
DPCD	549	753	432	457	296	328	400	567
DPF1	137	208	97	83	115	142	151	235
DPF2	707	992	498	488	413	442	555	874
DPF3	46	53	31	35	9	14	10	19
DPH1	778	1004	451	388	375	411	542	790
DPH2	1067	1496	716	633	142	145	184	321
DPH3	98	125	77	60	98	100	118	187
DPH5	1029	1357	678	641	306	345	471	624
DPH6	190	249	135	105	123	104	163	203
DPM1	1179	1658	686	653	893	988	1195	1654
DPM2	142	227	80	73	70	107	117	195
DPM3	164	198	110	108	232	210	304	415
DPP3	855	1221	645	581	445	460	526	921
DPP7	75	105	42	41	2	6	10	8
DPP8	1102	1729	895	775	263	301	348	454
DPP9	736	1183	566	520	330	366	525	736
DPY19L1	1381	1956	927	819	455	489	523	668
DPY19L2	37	85	42	32	59	55	67	94
DPY19L3	688	1031	490	496	433	473	530	795
DPY19L4	711	971	539	453	125	134	154	206
DPY30	558	765	308	269	194	243	256	386
DPYSL2	493	758	449	342	908	946	1174	1717
DPYSL3	49	81	20	30	557	692	910	1295
DPYSL4	265	353	177	159	96	92	102	230
DPYSL5	630	1052	564	502	406	420	547	757
DQ576756	98	135	138	124	0	0	0	1
DQ786325	441	668	286	253	53	70	94	165
DR1	1234	1721	780	746	317	347	496	626
DRAM2	430	706	247	189	169	138	203	222
DRAP1	791	988	499	557	182	193	246	392
DRG1	3687	5008	2205	2118	1354	1457	1639	2449
DRG2	1689	2402	1011	949	333	351	515	704
DROSHA	2326	4107	2448	2025	624	716	966	1263
DSC2	396	602	321	270	382	388	411	522
DSC3	637	905	488	439	517	582	480	836
DSCC1	1030	1467	744	759	315	367	410	565
DSCR3	443	693	221	211	183	173	252	297
DSE	957	1326	574	475	120	121	182	231
DSG2	1848	2837	1655	1361	1169	1269	1358	1771
DSN1	1133	1611	765	755	229	236	328	395
DSP	7100	11128	6439	5661	2399	2808	3316	4448
DST	8065	11215	6085	5767	685	606	577	878
DSTN	1306	1755	837	775	1368	1655	1966	2440
DSTYK	598	1014	580	536	78	99	126	182
DTD1	764	1061	585	605	321	327	413	674
DTD2	253	436	205	185	54	67	90	99
DTL	3180	4561	2214	1795	670	778	976	1393
DTNA	216	347	167	132	144	135	211	245
DTNB	347	548	254	227	117	114	147	237
DTNBP1	244	424	282	263	326	381	451	691
DTWD1	262	437	187	156	79	112	174	168
DTWD2	205	276	141	109	86	94	144	181
DTX2	71	128	80	62	36	65	83	93
DTX3	95	133	48	41	72	62	91	120
DTX3L	153	249	116	87	100	134	186	237
DTYMK	1353	1884	881	879	434	432	551	956
DUS1L	3046	4358	2167	1972	223	187	292	450
DUS2L	407	657	331	342	173	162	226	333
DUS3L	1342	1949	870	839	228	254	314	554
DUS4L	222	322	146	128	62	76	100	108
DUSP1	183	262	107	67	274	331	310	411
DUSP11	680	980	424	435	195	236	321	432
DUSP12	661	970	449	469	153	164	162	250
DUSP14	227	338	132	108	139	158	225	327
DUSP16	437	595	359	309	69	98	133	178
DUSP19	56	76	33	49	39	40	52	77
DUSP2	42	73	39	33	0	0	0	0
DUSP22	151	221	92	98	34	51	63	61
DUSP3	322	468	218	180	242	263	314	499
DUSP7	149	208	116	100	77	81	142	175
DUSP9	208	299	153	135	61	59	56	110
DUT	1092	1598	775	830	974	1029	1417	1745
DVL1	1498	1969	834	750	100	95	150	197
DVL2	1084	1577	706	596	431	444	663	938
DVL3	477	705	350	312	281	263	394	595
DYM	794	1157	512	399	508	537	696	812
DYNC1H1	24818	39603	22315	20306	4073	4090	4658	6340
DYNC1I2	2424	3491	1670	1525	1023	1108	1340	1836
DYNC1LI1	3559	4901	2312	2267	702	837	1071	1283
DYNC1LI2	1385	2088	1145	1075	501	515	659	851
DYNC2H1	12984	17895	9746	9302	1279	1480	1613	2010
DYNC2LI1	663	887	466	416	160	215	254	319
DYNLL1	1472	1939	805	790	886	1009	1334	2083
DYNLL2	168	277	129	114	249	299	353	396
DYNLRB1	350	450	149	104	372	507	635	854
DYNLT1	923	1274	511	482	515	628	831	1035
DYNLT3	235	331	155	146	79	92	131	172
DYRK1A	1536	2287	995	874	284	279	384	501
DYRK1B	129	197	82	70	167	152	242	355
DYRK2	905	1336	659	665	110	134	172	275
DYRK3	518	845	409	329	106	114	175	214
DYRK4	417	571	181	185	116	120	187	234
DYX1C1	97	120	73	54	57	40	79	91
DZANK1	63	105	49	53	28	36	34	46
DZIP1	2588	3787	2057	1829	91	77	120	114
DZIP1L	231	319	227	223	21	24	24	40
DZIP3	2560	3535	1615	1555	333	341	429	517
E2F1	1045	1415	628	572	87	81	127	128
E2F2	201	307	175	178	177	185	311	387
E2F3	698	1068	473	405	241	337	390	526
E2F4	1341	1758	868	679	166	196	292	394
E2F5	472	674	361	324	156	149	191	257
E2F6	423	635	299	269	151	198	213	228
E2F7	731	1138	584	530	291	304	375	582
E2F8	518	823	465	386	90	108	154	187
E4F1	1035	1527	731	616	140	149	221	322
EAF1	427	619	280	220	240	282	371	477
EAF2	88	158	74	59	28	35	53	48
EAPP	902	1215	561	479	212	262	276	400
EARS2	921	1284	622	579	304	310	424	573
EBAG9	247	365	154	143	54	70	92	120
EBF3	241	304	169	155	213	203	229	322
EBLN2	136	210	131	121	0	0	0	0
EBNA1BP2	3464	4734	2189	2282	1109	1178	1590	2530
EBP	1212	1816	745	693	754	674	926	1487
EBPL	425	635	281	246	538	591	726	1045
ECD	1208	1735	866	767	890	1149	1341	1872
ECE1	348	614	325	230	543	544	576	863
ECE2	86	108	66	64	35	41	43	81
ECEL1	70	119	46	41	30	27	29	56
ECHDC1	1725	2194	1111	1047	691	850	948	1279
ECHS1	2820	4016	2055	1941	1562	1446	1885	2668
ECI1	859	1225	608	487	364	360	477	676
ECI2	3016	4429	2058	1974	766	809	1142	1457
ECSIT	699	925	415	385	175	175	257	417
ECT2	4268	5713	2742	2452	1054	1171	1403	1734
EDA	40	64	46	30	20	20	21	47
EDC3	666	1268	725	628	479	593	702	991
EDC4	2483	3600	1779	1369	925	1040	1227	2074
EDEM1	836	1169	634	643	50	54	94	98
EDEM2	489	733	305	249	63	42	58	87
EDEM3	1590	2321	1177	1108	194	195	197	300
EDF1	1980	2662	1147	973	861	836	1163	1990
EEA1	1512	2010	1243	1041	736	824	951	1256
EED	1081	1524	815	759	262	267	381	541
EEF1A1	382495	548953	251035	240019	60753	62243	62034	107446
EEF1A2	314	476	201	173	1084	1126	1487	1779
EEF1B2	14845	21427	8666	7069	3806	3989	4307	6813
EEF1D	7116	9471	4154	3919	1142	1281	1366	2376
EEF1E1	2244	2953	1257	1112	1117	1418	1567	2212
EEF1G	58391	83442	37211	35029	7540	7904	9317	14779
EEF2	63685	88469	36863	32405	18232	20281	22578	37728
EEF2K	372	624	324	311	86	122	145	205
EEFSEC	236	349	231	165	168	194	244	382
EEPD1	122	192	115	116	27	30	65	80
EFCAB11	119	221	81	98	41	50	81	88
EFCAB14	469	693	393	353	133	132	172	193
EFCAB2	87	139	75	52	10	11	14	25
EFCAB4B	198	280	160	140	36	42	46	56
EFCAB6	94	172	72	53	8	7	7	15
EFCAB7	493	779	363	320	131	156	184	229
EFHC1	529	706	314	328	96	97	106	185
EFHD2	262	364	170	165	151	147	237	371
EFNA5	82	131	80	66	217	277	278	422
EFNB1	200	291	132	92	125	161	152	274
EFNB2	214	331	112	93	305	324	376	531
EFR3A	1039	1522	760	747	101	110	139	168
EFR3B	103	209	100	83	124	108	156	210
EFTUD1	1900	2810	1378	1205	236	272	331	441
EFTUD2	7167	10649	5343	5003	2859	2753	3344	5496
EGFL7	106	175	84	68	141	187	204	322
EGFR	117	215	110	106	135	149	172	209
EGLN1	796	1264	676	620	241	228	339	466
EGLN2	547	795	380	352	94	101	142	233
EGLN3	43	82	24	27	71	77	89	132
EHBP1	1359	2063	1164	1077	194	199	255	273
EHBP1L1	42	79	45	35	18	22	44	50
EHD1	320	475	238	214	156	148	213	281
EHD3	180	234	124	116	39	33	51	87
EHD4	680	902	357	393	229	242	356	489
EHHADH	204	271	150	142	126	153	182	218
EHMT1	1532	2247	1198	1076	428	408	503	775
EHMT2	1429	2209	1162	990	490	519	645	1045
EI24	2753	3675	1793	1641	211	226	248	355
EID1	1259	1583	833	858	869	809	1196	1801
EID2	191	242	122	130	357	384	601	795
EID3	52	92	79	76	0	2	1	2
EIF1	995	1641	1006	856	1193	1426	1550	2316
EIF1AD	240	412	222	218	93	86	148	160
EIF1AX	3221	4208	1996	2073	2095	1939	2311	3079
EIF1B	420	667	359	319	204	234	298	437
EIF2A	3919	5595	2340	2034	634	835	935	1185
EIF2AK1	2342	3610	1923	1691	645	722	967	1182
EIF2AK2	1222	1785	984	880	677	816	999	1218
EIF2AK3	557	885	416	346	47	42	79	86
EIF2AK4	2278	3230	1636	1444	388	423	494	649
EIF2B1	1721	2283	1088	966	749	720	883	1320
EIF2B2	1037	1445	686	622	330	376	476	652
EIF2B3	1966	2776	1268	1270	738	758	938	1280
EIF2B4	887	1195	599	624	305	366	411	619
EIF2B5	1306	1869	803	785	391	402	441	718
EIF2D	2023	2884	1198	1144	223	231	289	394
EIF2S1	2292	3280	1516	1445	1404	1542	1895	2654
EIF2S2	6966	9599	4608	4457	2161	2360	2845	3479
EIF2S3	9641	13395	6229	5712	5814	6678	8227	10274
EIF3A	17518	21774	12583	12488	4543	5084	5626	9105
EIF3B	11516	16298	7731	7571	3151	3469	4433	6276
EIF3C	24918	36355	20005	19439	14485	15701	19821	26935
EIF3D	11072	15976	6946	6439	3800	4264	5250	7157
EIF3E	16769	23683	9289	8348	3701	4555	5164	6812
EIF3F	4135	6247	2717	2528	1154	1247	1403	2208
EIF3G	3818	5448	2088	1947	1709	2189	2800	3998
EIF3H	3613	4952	2178	2012	1337	1656	1938	2788
EIF3I	10899	15327	6119	5492	4234	4625	6011	7957
EIF3J	1021	1283	729	722	610	700	875	1308
EIF3K	4032	5689	2777	2729	3996	4370	5809	7540
EIF3L	11890	16423	6344	5243	2139	2647	3016	4622
EIF3M	9713	13409	6462	6299	2741	3089	3482	4822
EIF4A2	3495	4829	2125	2081	809	896	1274	1747
EIF4A3	4180	5963	2587	2421	1410	1585	1890	2746
EIF4B	18285	25791	12275	12121	2689	2892	3097	4691
EIF4E	2629	3686	1777	1700	735	847	1037	1511
EIF4E2	1313	1721	729	687	390	444	514	787
EIF4E3	115	188	106	84	43	50	54	78
EIF4EBP1	668	998	505	535	329	350	468	665
EIF4EBP2	207	306	114	99	124	125	153	262
EIF4ENIF1	700	1055	625	626	259	266	343	507
EIF4G1	17443	28087	15038	13458	6437	7160	8759	12745
EIF4G2	22719	35388	17823	15495	1586	1884	2092	2674
EIF4G3	4364	6798	3709	3280	1662	1826	2083	3041
EIF4H	4805	6749	2682	2306	1532	1699	2284	3023
EIF5	7184	10599	5100	4806	1159	1281	1558	1867
EIF5A	8211	11280	5465	5201	12169	13150	17503	25362
EIF5A2	119	187	111	105	70	80	67	97
EIF5AL1	2616	3431	1675	1517	5957	6644	8296	11269
EIF5B	3497	3912	3224	3293	1598	1883	2123	2964
EIF6	1232	1772	732	634	576	657	914	1388
ELAC1	101	188	76	70	39	56	39	79
ELAC2	3615	5063	2274	2069	699	727	1055	1390
ELAVL1	1546	2311	1126	1005	1410	1565	2195	3078
ELAVL2	218	325	117	98	116	136	157	211
ELF1	409	652	324	255	370	407	471	605
ELF2	1112	1719	863	717	252	327	323	460
ELF4	192	376	226	198	203	201	273	325
ELK1	535	746	397	309	75	91	106	192
ELK3	83	116	39	42	40	34	75	68
ELL	194	321	141	118	91	108	165	241
ELL2	477	688	267	220	121	155	211	235
ELL3	61	96	31	27	103	108	175	168
ELMO2	551	752	380	314	249	237	289	452
ELMO3	36	80	39	27	0	2	3	1
ELMOD1	83	105	52	41	11	16	11	12
ELMOD2	669	993	438	422	255	302	366	514
ELMOD3	171	242	117	81	6	8	7	16
ELMSAN1	237	432	311	259	101	109	160	214
ELOF1	446	549	250	254	235	224	254	491
ELOVL1	448	601	232	194	388	427	562	867
ELOVL2	193	272	111	97	127	127	160	257
ELOVL4	472	679	265	278	422	455	502	713
ELOVL5	1216	1581	693	510	997	1139	1365	2057
ELOVL6	173	216	137	102	210	203	253	436
ELOVL7	134	191	92	99	108	114	132	194
ELP2	2143	3242	1582	1413	634	757	937	1262
ELP3	897	1351	547	517	601	726	820	1150
ELP4	763	1039	470	341	166	207	269	307
ELP5	879	1256	518	502	329	373	502	694
ELP6	1084	1602	631	635	183	213	261	423
EMB	932	1406	559	510	241	279	308	364
EMC1	1792	3030	1584	1418	1340	1420	1448	2201
EMC10	992	1339	634	587	319	361	381	773
EMC2	781	1025	522	546	330	378	471	519
EMC3	1452	2034	732	585	643	697	780	1062
EMC4	655	1008	421	348	508	509	640	972
EMC6	176	240	66	53	83	99	115	227
EMC7	408	551	264	247	430	469	513	753
EMC8	496	728	338	282	209	254	321	469
EMC9	208	316	139	166	56	56	69	97
EMD	1125	1512	739	655	556	659	856	1299
EME1	664	911	452	407	114	137	145	224
EME2	117	153	98	91	10	10	13	17
EMG1	1041	1397	619	557	394	438	546	879
EMILIN2	646	982	605	486	126	140	106	107
EMILIN3	206	319	176	149	199	210	223	329
EML1	660	1024	433	462	345	335	380	517
EML2	218	262	135	126	83	126	138	202
EML3	183	280	155	145	69	60	89	104
EML4	2838	4083	1830	1721	657	745	824	1223
EML5	1090	1567	938	926	76	70	76	109
EML6	231	365	217	177	21	11	11	11
EMP2	163	235	111	53	76	103	113	170
EMP3	128	158	55	37	112	105	164	211
EN2	90	155	109	81	59	81	109	169
ENAH	3873	5125	2298	2061	934	1041	1345	1738
ENC1	105	135	89	67	210	225	248	388
ENDOD1	200	274	114	103	92	100	120	179
ENDOG	307	401	210	181	227	237	297	511
ENDOV	94	137	62	56	28	21	33	52
ENGASE	344	466	236	249	64	55	67	115
ENKD1	153	141	101	80	23	31	36	56
ENO1	63603	87401	36019	32713	28914	30883	38739	57987
ENO2	192	320	166	139	1148	1086	1308	1798
ENOPH1	963	1363	730	750	308	332	424	641
ENOSF1	414	601	311	299	128	118	174	223
ENOX1	233	381	174	174	38	42	49	58
ENOX2	624	834	475	387	69	74	97	108
ENPEP	44	75	44	46	196	250	236	276
ENPP1	789	1183	564	529	259	275	294	396
ENPP4	311	478	202	183	208	267	320	379
ENSA	2492	3446	1641	1650	698	883	1095	1667
ENTHD2	161	276	125	111	63	48	75	107
ENTPD4	604	863	431	441	90	89	82	155
ENTPD5	227	318	181	132	15	17	22	22
ENTPD6	664	880	369	373	140	133	152	261
ENTPD7	861	1343	659	600	147	132	206	252
ENY2	1383	1895	916	946	394	470	532	867
EOGT	338	468	246	171	84	81	97	125
EP300	1842	3651	2556	1959	1047	1203	1341	1905
EP400	973	2177	1569	1149	839	821	847	1344
EPAS1	72	100	68	46	44	37	77	84
EPB41	3452	5176	2670	2429	781	876	1131	1466
EPB41L1	176	356	206	178	55	63	73	107
EPB41L2	2513	3470	2040	1850	1071	1250	1618	2141
EPB41L3	1169	1616	808	706	692	843	913	1395
EPB41L4A	57	96	62	58	17	32	38	40
EPB41L4B	127	203	92	98	40	52	66	70
EPB41L5	706	1084	511	436	224	289	328	415
EPC1	664	972	418	374	133	138	125	182
EPC2	1415	2125	869	833	102	162	160	195
EPDR1	56	68	37	30	146	144	187	273
EPG5	850	1398	798	733	202	223	274	367
EPHA2	147	261	136	107	399	379	520	739
EPHA3	486	699	320	292	115	137	156	199
EPHA4	688	971	491	397	262	272	301	475
EPHA5	46	77	38	36	109	101	107	180
EPHA6	562	773	437	436	105	92	89	135
EPHA7	1299	1834	977	904	813	893	937	1464
EPHA8	89	108	48	45	21	15	28	38
EPHB1	51	100	55	27	25	18	27	46
EPHB2	276	392	165	149	142	151	184	242
EPHB4	1316	1770	939	848	233	250	234	415
EPHX1	292	538	297	264	305	306	428	566
EPHX2	112	170	96	79	111	120	134	173
EPHX4	75	109	49	44	58	68	76	105
EPM2A	45	73	36	30	16	26	26	35
EPN1	453	934	510	499	285	336	499	731
EPN2	429	596	300	252	95	85	121	194
EPPK1	260	551	311	295	609	681	736	1106
EPRS	20846	28918	13430	12659	2818	3057	3551	4546
EPS15	1806	2679	1424	1218	521	569	664	902
EPS15L1	424	731	376	376	507	571	692	986
EPS8	548	741	337	295	358	460	572	776
EPT1	919	1335	565	435	433	445	547	841
ERAL1	742	1152	494	461	497	503	634	1037
ERAP1	154	218	83	83	163	139	169	203
ERBB2	638	943	475	429	133	112	175	168
ERBB2IP	3218	4651	2175	1902	461	577	683	850
ERBB4	118	183	100	97	203	189	238	246
ERC1	1028	1761	1131	1089	407	427	556	718
ERC2	353	598	307	259	10	22	17	25
ERCC1	601	907	403	371	221	165	214	397
ERCC2	737	1033	500	416	337	351	486	639
ERCC3	2200	3114	1511	1329	441	473	607	838
ERCC4	697	1050	532	552	178	203	271	388
ERCC6	1014	1459	715	723	180	218	293	424
ERCC6L	2181	2993	1359	1258	286	366	391	580
ERCC6L2	1335	1934	947	834	63	64	80	98
ERCC8	624	815	381	401	41	63	80	81
ERF	207	290	140	107	97	128	214	341
ERGIC1	724	1062	328	275	256	278	358	525
ERGIC2	1232	1798	759	772	280	344	393	482
ERGIC3	3631	4995	2069	1875	943	968	1180	1710
ERH	3104	3882	1553	1563	1507	1777	1953	2637
ERI1	498	674	366	324	237	230	344	385
ERI2	809	1124	546	446	109	150	165	174
ERI3	1176	1633	767	666	675	782	976	1313
ERICH1	301	409	210	193	107	129	210	228
ERLEC1	874	1219	575	529	195	193	258	298
ERLIN1	505	713	412	381	193	200	269	353
ERLIN2	732	1084	492	433	481	578	614	841
ERMAP	46	66	37	31	5	11	16	15
ERMP1	337	563	250	208	342	339	474	593
ERN1	118	197	90	86	36	38	33	58
ERO1L	1480	2464	1304	1221	555	578	731	826
ERO1LB	284	446	210	219	106	98	106	156
ERP29	1841	2444	1015	937	623	642	845	1298
ERP44	1091	1691	774	692	648	763	895	1290
ERRFI1	347	487	169	153	158	139	171	238
ERV3-1	84	130	75	71	2	3	1	8
ESCO1	1121	1640	796	714	51	55	88	111
ESCO2	708	1120	473	408	444	591	747	1011
ESD	3172	4441	2066	1916	1702	1957	2482	3356
ESF1	2159	2585	1428	1515	367	456	561	766
ESPL1	1926	3171	1961	1581	956	1011	1106	1773
ESPNL	89	116	64	53	0	2	0	0
ESRP2	246	340	198	159	222	199	264	346
ESRRA	375	487	217	211	96	95	115	172
ESYT1	2921	4510	2160	1898	1239	1185	1620	2218
ESYT2	1589	2368	1074	918	477	471	540	808
ETAA1	1038	1495	649	634	66	101	120	125
ETF1	5606	7898	3675	3592	2084	2352	2990	3774
ETFA	4802	6827	3018	2910	1782	1779	2426	3025
ETFB	1290	1573	883	888	503	452	682	930
ETFDH	1175	1645	805	748	239	263	268	438
ETHE1	122	161	60	56	79	74	103	133
ETNK1	1328	1875	966	801	452	515	651	1060
ETNK2	208	317	141	147	24	30	50	62
ETS2	328	552	340	254	235	297	307	470
ETV3	349	514	239	208	198	185	258	410
ETV3L	33	53	45	40	17	24	25	45
EVC	297	591	430	355	27	27	35	47
EVI5	1184	1866	991	880	166	213	236	332
EVI5L	175	257	133	121	58	60	81	105
EVL	359	587	334	295	62	62	72	128
EWSR1	9671	12854	6069	5937	3275	4198	4628	6669
EXD2	566	792	430	402	161	181	175	248
EXO1	4509	6525	3243	2978	381	409	543	625
EXO5	106	117	60	56	84	93	80	127
EXOC1	1378	1945	925	850	340	339	449	570
EXOC2	2290	3111	1433	1271	660	753	833	1114
EXOC3	860	1353	655	620	283	327	429	592
EXOC4	1992	2980	1433	1288	770	794	979	1271
EXOC5	1982	2757	1411	1441	366	399	562	650
EXOC6	1482	2180	1043	953	540	659	808	956
EXOC6B	1015	1661	853	698	262	298	359	439
EXOC7	1724	2608	1051	915	464	576	708	1053
EXOC8	1765	2761	1463	1308	381	367	468	711
