	tm_a_hek	tm_b_hek	untr_a_hek	untr_b_hek
PBX2	249	303	391	327
PBX3	114	168	185	181
PBXIP1	134	180	207	206
PC	153	204	257	237
PCBD1	106	170	183	141
PCBD2	35	39	50	60
PCBP1	420	552	730	605
PCBP2	1984	2455	3956	3092
PCBP4	49	70	44	55
PCCA	212	318	327	350
PCCB	1021	1290	1370	1191
PCDH10	480	557	696	598
PCDH17	74	92	119	93
PCDH18	51	55	72	66
PCDH20	133	136	168	148
PCDH7	686	853	975	868
PCDH9	531	711	648	621
PCED1A	203	242	216	184
PCF11	2041	2737	2721	2379
PCGF1	132	180	173	172
PCGF2	41	44	94	70
PCGF3	200	227	234	200
PCGF5	154	183	244	181
PCGF6	516	617	675	738
PCID2	388	436	539	471
PCIF1	110	162	240	175
PCK2	194	203	236	204
PCLO	324	469	777	626
PCM1	3014	3905	4580	4347
PCMT1	1133	1424	1583	1438
PCMTD1	99	171	160	148
PCMTD2	224	344	366	354
PCNA	4904	6136	6137	6038
PCNP	544	709	698	703
PCNT	2201	3182	4515	4202
PCNX	1783	2239	2745	2473
PCNXL2	816	1078	1305	1122
PCNXL3	464	617	904	732
PCNXL4	942	1088	1371	1195
PCOLCE2	270	338	362	310
PCSK1N	21	22	50	34
PCSK5	173	232	233	247
PCSK6	612	766	985	814
