	ribo_isrib_a	ribo_isrib_b	ribo_untr_a	ribo_untr_b
HIST3H2BB	2057	2597	3905	4739
HIST4H4	651	849	1282	1662
HIVEP1	169	214	240	382
HIVEP2	83	116	177	203
HJURP	400	506	759	1050
HK1	1103	1587	2068	2911
HK2	384	474	621	1012
HKR1	150	182	207	295
HLA-A	1455	2143	2598	4190
HLA-C	1597	2183	2753	4249
HLA-DPA1	104	133	166	274
HLA-DQB1	76	107	159	192
HLA-E	402	564	587	1128
HLA-F	217	312	317	615
HLA-G	265	373	513	767
HLCS	195	216	286	415
HLTF	1099	1338	2092	2542
HLX	33	45	55	98
HM13	753	1081	1343	2068
HMBOX1	53	81	102	123
HMBS	176	275	335	482
HMCN1	32	36	59	82
HMG20A	154	189	259	360
HMG20B	87	104	105	203
HMGA1	449	587	726	1403
HMGA2	251	246	379	490
HMGB1	5225	6676	8483	13652
HMGB2	1402	1941	2266	4023
HMGB3	720	917	1172	1797
HMGCL	80	112	196	222
HMGCR	828	1065	1345	1901
HMGCS1	1045	1155	1529	2264
HMGN1	672	832	1102	1736
HMGN2	3573	4792	5499	9625
HMGN3	288	390	436	738
HMGN4	92	111	167	234
HMGN5	93	148	214	329
HMGXB3	174	222	333	452
HMGXB4	152	242	293	351
HMMR	684	862	1198	1491
HMOX1	115	151	170	265
HMOX2	164	221	299	445
HN1	1051	1351	1627	2708
HN1L	510	661	776	1222
HNRNPA0	1242	1941	2323	3525
HNRNPA1	11009	14555	16727	26842
HNRNPA1L2	5453	7286	8356	13434
HNRNPA2B1	11361	14337	19289	29989
HNRNPA3	3874	5325	6150	10951
HNRNPAB	2753	3614	4573	7341
HNRNPC	4598	5965	7895	12315
HNRNPD	3193	4299	5094	8493
HNRNPF	2580	3586	4374	6928
HNRNPH1	4899	6199	8276	12555
HNRNPH2	832	1049	1436	2240
HNRNPH3	1272	1751	2128	3441
HNRNPK	7305	9730	12060	19357
HNRNPL	5268	7301	9786	14928
HNRNPM	4203	5826	7130	12081
HNRNPR	3359	4329	6041	8229
HNRNPU	9079	11606	14657	23379
HNRNPUL1	1573	2167	3033	4080
HNRNPUL2	869	1168	1561	2677
HNRPDL	2497	3253	4029	5884
HNRPLL	336	438	608	859
HOMER1	94	122	195	235
HOMER2	29	34	50	67
HOMER3	13	35	38	41
HOMEZ	62	101	132	188
HOOK1	356	428	634	790
HOOK2	55	85	103	158
HOOK3	370	466	712	838
HOXA1	43	51	78	131
HOXA10	231	352	471	680
HOXA11	153	203	291	381
HOXA13	171	233	412	646
HOXA2	2	1	2	4
HOXA3	16	27	24	48
HOXA5	159	201	257	416
HOXA6	14	27	36	66
HOXA9	253	366	487	775
HOXB13	30	47	52	88
HOXB2	74	106	95	167
HOXB3	21	15	22	42
HOXB4	17	29	27	38
HOXB5	50	59	75	154
HOXB6	163	260	287	394
HOXB7	77	105	116	213
HOXB8	21	32	45	72
HOXB9	218	309	389	565
HOXC10	50	67	102	144
HOXC4	30	56	61	76
HOXC6	37	60	62	91
HOXC8	43	63	64	124
HOXC9	98	183	236	353
HOXD10	22	25	36	46
HOXD11	118	167	245	317
HOXD13	119	162	255	362
HOXD4	5	3	3	11
HOXD8	17	12	31	45
HOXD9	16	15	32	16
HP1BP3	784	947	1316	1874
HPCAL1	39	80	85	136
HPGD	44	21	67	82
HPRT1	1288	1619	2401	3168
HPS1	47	62	88	136
HPS3	154	186	318	374
HPS4	48	84	107	141
HPS5	121	157	195	226
HPS6	178	213	311	503
HPSE	33	54	85	81
HRAS	101	156	163	300
HRASLS	12	19	34	35
HRSP12	107	161	218	251
HS1BP3	87	98	141	190
HS2ST1	134	207	232	396
HS3ST3A1	31	37	57	81
HS3ST3B1	33	40	56	91
HS6ST1	23	37	55	69
HS6ST2	291	404	478	786
HS6ST3	12	15	13	24
HSBP1	328	488	712	1052
HSCB	100	129	217	308
HSD17B10	915	1250	1651	2438
HSD17B11	112	138	185	274
HSD17B12	698	970	1331	1803
HSD17B4	1405	1739	2618	3416
HSD17B6	15	25	32	39
HSD17B7	137	162	239	296
HSD17B8	19	40	44	41
HSDL1	133	175	255	319
HSDL2	338	421	618	807
HSF1	136	197	292	372
HSF2	476	552	854	1084
HSF4	0	0	2	0
HSP90AA1	27765	36146	46782	70536
HSP90AB1	15082	19474	24104	39022
HSP90B1	5909	8017	10283	15593
HSPA12A	105	119	164	220
HSPA13	298	377	506	669
HSPA14	499	575	857	1159
HSPA1A	7385	10428	14908	28231
HSPA1B	7641	10799	15448	29400
HSPA1L	697	970	1512	2647
HSPA4	4624	5829	8452	11075
HSPA4L	884	971	1467	1868
HSPA5	3697	4976	6112	9490
HSPA8	19912	25115	33764	59094
HSPA9	6042	7611	9988	14781
HSPB1	178	244	321	537
HSPB11	362	440	588	897
HSPBAP1	43	42	56	91
HSPBP1	344	506	540	948
HSPD1	9832	12748	17132	25410
HSPE1-MOB4	1025	1172	1763	2522
HSPG2	163	229	314	470
HSPH1	2231	2778	3736	5608
HTATIP2	179	212	310	448
HTATSF1	721	911	1298	1823
HTRA1	26	25	38	55
HTRA2	146	193	294	424
HTT	526	704	939	1324
HUNK	52	76	87	119
HUS1	144	181	218	380
HUWE1	3477	4292	6213	8309
HYAL2	52	66	81	158
HYAL3	7	6	21	21
HYI	73	120	131	224
HYLS1	18	38	37	44
HYOU1	726	933	1162	1986
HYPK	638	847	1075	1665
IAH1	146	198	288	363
IARS	2269	2834	4592	5305
IARS2	490	729	886	1243
IBA57	60	107	124	216
IBTK	398	504	891	967
ICA1	11	22	41	34
ICA1L	28	36	33	57
ICAM5	17	20	29	49
ICK	28	26	45	69
ICMT	291	420	570	786
ICT1	244	351	431	570
ID1	106	142	138	202
ID2	534	776	907	1333
ID3	410	515	650	974
ID4	293	367	475	887
IDE	757	975	1299	1692
IDH1	587	680	1044	1400
IDH2	211	242	335	526
IDH3A	534	658	853	1283
IDH3B	1129	1553	2132	2894
IDH3G	424	613	770	1155
IDI1	735	887	1138	1710
IDS	14	20	34	40
IER2	150	249	218	441
IER3IP1	144	205	260	341
IER5	82	132	105	220
IFFO1	85	142	165	246
IFFO2	53	89	104	183
IFI27L1	16	16	15	54
IFI27L2	92	115	168	307
IFI30	221	332	504	669
IFIT1	75	75	139	161
IFIT5	343	452	634	846
IFNAR1	125	178	247	319
IFNAR2	42	67	117	149
IFNGR1	245	292	436	592
IFNGR2	71	116	136	170
IFNLR1	11	35	30	65
IFRD1	118	128	301	351
IFRD2	147	227	278	417
IFT122	135	174	259	334
IFT140	81	125	169	232
IFT172	172	234	310	403
IFT20	24	34	41	65
IFT27	114	175	210	311
IFT43	63	79	122	151
IFT46	87	107	132	219
IFT52	140	157	248	328
IFT57	216	250	422	529
IFT74	160	184	302	299
IFT80	47	74	97	147
IFT81	220	258	434	500
IFT88	113	111	210	229
IGBP1	239	329	406	578
IGDCC3	6	4	4	8
IGDCC4	6	4	17	23
IGF1R	153	206	262	400
IGF2BP1	946	1310	1720	2629
IGF2BP2	335	502	767	1024
IGF2BP3	553	705	927	1329
IGF2R	904	1263	1593	2367
IGFBP2	428	637	751	1251
IGHMBP2	123	144	213	315
IGSF3	95	159	220	245
IGSF8	77	93	177	236
IGSF9B	10	15	19	26
IK	1183	1552	1973	2954
IKBIP	304	399	469	696
IKBKAP	750	988	1327	1824
IKBKB	90	169	217	293
IKBKG	120	156	204	436
IKZF2	2	11	13	23
IKZF5	53	84	110	151
IL11RA	5	10	15	16
IL12RB2	35	44	67	90
IL13RA1	130	214	301	323
IL17RA	90	126	138	204
IL17RB	28	52	64	73
IL17RC	9	12	26	29
IL17RD	16	13	25	42
IL18R1	13	13	20	28
IL1RAP	11	29	45	66
IL27RA	22	34	47	85
IL4R	18	26	26	42
IL6ST	170	246	327	466
ILDR2	15	16	27	35
ILF2	4363	5742	7502	11123
ILF3	3306	4777	5782	9203
ILK	174	235	277	408
ILKAP	318	416	506	730
ILVBL	269	350	438	724
IMMP1L	40	49	63	81
IMMP2L	28	35	40	70
IMMT	1224	1591	2223	2968
IMP3	315	394	544	823
IMP4	210	300	375	598
IMPA1	251	337	469	623
IMPA2	29	32	55	64
IMPACT	92	126	144	216
IMPAD1	224	309	403	633
IMPDH1	465	700	887	1308
IMPDH2	1476	2007	2748	3743
INA	201	330	336	600
INADL	165	246	321	423
INCENP	571	696	915	1568
INF2	321	435	543	817
ING1	48	69	62	126
ING2	25	35	49	79
ING3	272	282	342	511
ING4	117	142	194	311
ING5	97	124	163	272
INIP	31	47	78	90
INO80	100	135	188	283
INO80B	47	76	114	190
INO80C	91	134	180	223
INO80D	47	88	91	138
INO80E	189	296	426	585
INPP1	61	74	114	205
INPP4A	104	108	200	213
INPP4B	57	60	98	103
INPP5A	43	55	72	118
INPP5B	84	138	199	288
INPP5E	38	59	72	91
INPP5F	191	230	381	500
INPP5J	23	29	42	63
INPP5K	143	168	258	360
INPPL1	203	250	343	501
INSIG1	255	268	464	608
INSIG2	30	40	57	74
INSR	143	229	261	371
INTS1	548	774	1006	1509
INTS10	277	329	463	580
INTS12	112	169	209	284
INTS2	375	493	644	904
INTS3	691	845	1117	1676
INTS4	252	297	484	584
INTS5	163	248	310	533
INTS6	251	329	418	703
INTS7	416	541	861	1124
INTS8	384	496	829	873
INTS9	223	273	345	523
INTU	57	83	120	156
INVS	33	51	79	85
IP6K1	144	248	303	478
IP6K2	255	327	413	567
IPCEF1	109	141	163	232
IPMK	72	85	114	165
IPO11	704	787	1209	1521
IPO13	101	136	198	268
IPO4	705	1047	1295	2059
IPO5	3125	3963	5168	7387
IPO7	2789	3397	4552	6268
IPO8	681	921	1247	1741
IPO9	596	774	1117	1482
IPP	103	143	199	258
IPPK	94	114	162	223
IQCB1	213	285	441	553
IQCC	16	32	38	52
IQCE	34	50	59	106
IQCG	13	14	31	37
IQCH	3	5	10	10
IQCJ-SCHIP1	71	83	129	176
IQCK	23	26	29	49
IQGAP1	733	927	1091	1919
IQGAP2	354	495	673	779
IQGAP3	216	316	374	628
IQSEC1	105	169	239	299
IRAK1	257	396	581	874
IRAK1BP1	57	81	148	138
IRAK2	25	17	24	47
IRAK4	67	81	120	134
IREB2	515	712	953	1187
IRF1	27	35	52	72
IRF2BP1	283	350	467	750
IRF2BP2	338	461	627	937
