	isrib_a_hek	isrib_b_hek	untr_a_hek	untr_b_hek
BCL6	35	20	33	27
BCL6B	103	73	114	90
BCL7A	139	108	139	153
BCL7B	178	120	146	118
BCL7C	475	342	485	493
BCL9	230	289	320	253
BCLAF1	11497	8398	10048	9203
BCOR	3243	4030	4711	3857
BCORL1	177	299	335	230
BCR	1467	1325	1744	1655
BCS1L	890	676	980	894
BDH1	74	48	92	70
BDH2	374	246	313	318
BDP1	4533	3577	4963	4875
BECN1	1065	793	1047	1006
BEND3	156	215	262	230
BEND4	129	101	135	119
BEND7	84	98	159	124
BET1	179	122	191	205
BET1L	53	49	52	75
BEX1	116	72	172	171
BEX2	732	452	734	693
BEX4	388	223	302	347
BEX5	30	22	37	38
BFAR	544	410	534	474
BFSP1	97	67	101	96
BHLHB9	299	270	342	303
BHLHE40	56	59	47	51
BICC1	242	212	197	177
BICD1	94	161	160	129
BICD2	800	714	934	882
BID	295	188	303	273
BIN1	176	112	150	142
BIN3	102	64	83	104
BIRC2	561	455	660	625
BIRC5	755	541	880	959
BIRC6	10297	7873	11059	9682
BIVM-ERCC5	1064	878	1152	1134
BLCAP	54	24	54	32
BLM	2812	2365	3204	2858
BLMH	741	652	823	834
BLOC1S1	341	219	371	336
BLOC1S2	276	182	285	249
BLOC1S4	94	40	105	85
BLOC1S6	211	155	214	204
BLVRA	428	343	472	469
BLVRB	172	102	159	153
BLZF1	534	361	508	502
BMP1	111	96	107	77
BMP2K	477	421	482	397
BMP4	25	37	43	47
BMP6	52	37	60	51
BMP7	328	259	344	265
BMP8B	38	36	36	38
BMPR1A	470	389	490	435
BMPR1B	87	78	103	86
BMPR2	594	632	622	556
BMS1	4781	3808	5243	5216
BNC2	79	59	67	61
BNIP1	174	130	193	166
BNIP2	726	495	837	773
BNIP3	405	316	467	511
BNIP3L	155	111	167	188
BOC	85	79	96	92
BOD1	531	361	507	444
BOD1L1	2924	2375	3097	2948
BOLA1	59	54	87	84
BOLA2	1614	1110	2082	1938
BOLA3	311	179	319	310
BOP1	3771	2780	3697	3550
BORA	402	292	407	331
BPGM	220	142	235	196
BPHL	229	149	245	228
BPNT1	710	530	730	731
BPTF	4598	4994	6204	5585
BRAF	306	264	344	313
BRAP	495	364	509	493
BRAT1	618	552	730	646
BRCA1	2653	2222	3180	2758
BRCA2	3401	3019	3840	3504
BRCC3	541	416	528	571
BRD1	651	647	805	717
BRD2	5671	5096	5560	4825
BRD3	263	250	329	293
BRD4	434	768	849	649
BRD7	2351	1826	2426	2366
BRD8	1486	1308	1700	1632
BRD9	642	547	782	704
BRE	411	272	411	410
BRF1	316	273	356	341
BRF2	143	110	175	138
BRI3	100	56	92	58
BRI3BP	165	119	167	149
BRIP1	1808	1446	1933	1664
BRIX1	1811	1369	2145	2193
BRK1	366	159	275	231
BRMS1	707	493	628	587
BRMS1L	414	285	405	345
BROX	829	628	852	765
BRPF1	1163	960	1179	1008
BRPF3	540	665	761	622
BRSK1	67	60	72	52
BRSK2	191	149	194	182
BRWD1	2369	1749	2687	2463
BRWD3	1344	1222	1661	1583
BSCL2	310	280	316	268
BSDC1	803	648	876	857
BSG	1941	1791	1998	1634
BSN	216	296	309	230
BTAF1	3491	2516	3489	3100
BTBD1	1581	1065	1445	1280
BTBD10	420	282	400	428
BTBD11	101	75	94	93
BTBD2	541	518	644	538
BTBD3	691	542	833	726
BTBD6	523	363	515	444
BTBD7	802	663	833	785
BTBD8	30	35	38	42
BTBD9	165	134	198	182
BTD	187	150	208	178
BTF3	6185	3912	5837	5599
BTF3L4	621	452	696	649
BTG1	178	134	159	120
BTG3	326	303	375	388
BTN2A1	411	287	390	374
BTN2A2	205	134	203	196
BTN3A1	75	58	98	99
BTN3A2	67	44	81	75
BTN3A3	67	46	81	88
BTRC	507	402	497	420
BUB1	3887	2844	3974	3506
BUB1B	2232	1531	2234	2021
BUB3	3251	2229	3396	3210
BUD13	426	329	416	361
BUD31	494	351	562	513
BVES	68	51	58	62
BYSL	708	569	687	634
BZW1	4788	3438	5348	5228
BZW2	1736	1259	1776	1732
C10orf118	522	357	525	531
C10orf12	1063	1129	1297	1226
C10orf137	1697	1248	1741	1574
C10orf2	669	626	762	590
C10orf32	49	29	36	35
C10orf76	432	383	499	438
C10orf88	201	181	240	203
C11orf1	87	46	95	74
C11orf24	259	173	201	169
C11orf30	392	359	409	313
C11orf31	396	279	463	435
C11orf48	335	229	348	378
C11orf49	145	119	139	121
C11orf54	136	97	138	107
C11orf57	618	466	664	588
C11orf58	2064	1511	2217	2405
C11orf63	23	31	46	36
C11orf68	73	44	81	54
C11orf73	459	320	507	407
C11orf74	289	205	271	304
C11orf80	84	75	90	86
C11orf82	615	493	564	521
C11orf83	119	60	126	102
C11orf84	348	270	334	350
C11orf95	120	104	162	149
C12orf10	465	372	490	387
C12orf23	269	205	249	268
C12orf29	580	390	592	513
C12orf4	546	428	642	572
C12orf43	123	103	161	151
C12orf44	274	180	274	306
C12orf45	332	215	338	305
C12orf49	160	128	158	169
C12orf5	320	276	324	366
C12orf52	285	225	264	241
C12orf57	326	179	263	266
C12orf60	36	19	48	35
C12orf65	107	85	124	130
C12orf66	139	108	122	141
C12orf73	42	30	37	36
C12orf75	54	26	74	72
C14orf1	145	97	157	107
C14orf119	364	189	273	179
C14orf142	75	45	98	98
C14orf159	120	101	104	121
C14orf166	2334	1523	2244	2144
C14orf2	523	285	582	588
C14orf28	28	27	36	29
C14orf37	96	78	115	71
C14orf79	55	44	54	41
C14orf80	190	159	266	267
C14orf93	78	64	78	80
C15orf27	35	20	39	37
C15orf38-AP3S2	578	495	588	608
C15orf39	340	533	524	389
C15orf40	109	62	147	121
C15orf41	79	62	66	77
C15orf57	68	50	61	63
C15orf59	60	42	49	57
C15orf61	76	38	80	61
C16orf13	360	228	396	379
C16orf55	46	42	46	48
C16orf58	239	177	243	224
C16orf59	300	247	332	245
C16orf62	546	442	578	484
C16orf70	265	210	249	217
C16orf72	370	322	406	418
C16orf80	362	259	390	329
C16orf87	152	109	134	142
C16orf91	147	114	163	179
C16orf93	109	67	84	87
C16orf95	36	30	30	31
C17orf104	34	21	42	27
C17orf51	207	158	185	165
C17orf53	169	144	194	133
C17orf58	52	26	53	32
C17orf59	62	49	87	71
C17orf62	85	80	120	92
C17orf70	478	403	529	468
C17orf75	351	258	418	379
C17orf80	595	485	605	516
C17orf85	969	797	1031	1045
C17orf89	30	20	63	49
C18orf21	328	198	268	242
C18orf25	334	279	366	387
C18orf32	65	32	50	44
C18orf54	86	99	123	113
C18orf8	402	298	386	355
C19orf10	511	306	493	494
C19orf12	46	31	33	42
C19orf24	187	140	190	203
C19orf25	50	46	60	55
C19orf40	42	41	54	46
C19orf43	590	385	673	767
C19orf44	130	154	181	132
C19orf47	224	168	195	129
C19orf48	734	468	682	535
C19orf52	96	56	119	111
C19orf53	385	263	450	430
C19orf54	24	48	47	37
C19orf55	52	65	84	47
C19orf57	79	66	76	47
C19orf60	75	55	102	109
C19orf70	276	160	270	262
C1D	326	232	301	336
C1GALT1	234	160	222	216
C1GALT1C1	515	373	597	542
C1QBP	8237	5566	9201	8530
C1orf101	41	32	48	54
C1orf109	225	173	271	258
C1orf112	1027	789	1041	841
C1orf122	63	55	103	117
C1orf123	260	193	265	289
C1orf131	695	494	774	687
C1orf159	41	43	43	26
C1orf174	306	217	348	292
C1orf198	198	175	274	234
C1orf21	153	123	193	160
C1orf216	43	60	46	50
C1orf27	712	518	782	721
C1orf35	543	361	570	522
C1orf43	1322	946	1323	1237
C1orf50	87	55	67	62
C1orf52	332	278	410	417
C1orf56	42	25	50	38
C1orf63	306	247	269	247
C1orf74	56	36	54	44
C1orf85	306	243	300	225
C1orf86	52	40	44	59
C20orf194	112	106	190	143
C20orf27	495	396	398	377
C20orf96	39	53	56	52
C21orf2	72	72	96	77
C21orf33	718	568	840	803
C21orf58	101	71	87	87
C21orf59	1089	766	1094	1015
C21orf91	259	164	204	188
C22orf29	224	212	243	193
C22orf39	24	26	39	44
C22orf46	28	37	58	39
C2CD2L	131	105	119	118
C2CD3	744	664	804	670
C2CD5	986	779	1010	952
C2orf42	140	126	139	122
C2orf43	101	67	99	105
C2orf44	612	442	601	506
C2orf47	379	295	420	358
C2orf49	268	176	264	231
C2orf68	64	50	72	70
C2orf69	254	180	300	248
C2orf74	106	78	134	114
C2orf76	95	55	103	97
C3orf14	312	206	330	291
C3orf17	1039	756	1129	1044
C3orf33	57	69	96	117
C3orf37	664	564	746	697
C3orf38	472	369	485	493
C3orf52	118	86	141	143
C3orf58	283	221	359	309
C3orf62	36	38	96	65
C3orf67	58	51	52	45
C4B_2	68	57	63	70
C4orf21	1499	1126	1688	1523
C4orf27	628	484	703	688
C4orf29	217	163	241	192
C4orf3	231	122	243	266
C4orf32	85	80	95	91
C4orf33	155	115	184	173
C4orf46	94	37	78	73
C5	44	52	56	53
C5orf15	724	457	651	461
C5orf22	473	411	541	419
C5orf24	307	225	303	253
C5orf28	86	42	76	64
C5orf30	110	102	167	126
C5orf34	246	194	294	226
C5orf42	1823	1596	2115	1828
C5orf45	183	179	201	194
C5orf51	257	285	388	392
C5orf54	174	137	186	157
C6orf106	310	271	343	279
C6orf120	153	116	191	193
C6orf136	64	63	81	75
C6orf163	32	27	39	39
C6orf170	762	634	862	781
C6orf203	143	116	144	187
C6orf211	975	656	1138	1031
C6orf47	103	79	104	113
C6orf48	348	292	393	316
C6orf57	34	21	52	33
C6orf62	847	843	1093	1055
C6orf70	274	229	277	250
C6orf89	405	297	396	312
C7orf10	123	101	155	150
C7orf25	168	138	191	174
C7orf26	184	178	214	208
C7orf31	70	64	74	65
C7orf41	74	53	89	77
C7orf43	166	151	153	137
C7orf49	252	178	274	295
C7orf50	378	317	452	459
C7orf55-LUC7L2	2374	1781	2412	2331
C7orf60	133	112	154	157
C7orf63	122	76	139	138
C7orf73	35	16	69	56
C8orf33	608	491	704	703
C8orf34	63	53	67	57
C8orf47	44	36	55	56
C8orf59	490	307	496	495
C8orf76	490	340	535	450
C8orf82	68	35	59	51
C9orf114	344	276	337	362
C9orf123	185	101	166	158
C9orf129	161	152	143	115
C9orf142	308	196	243	236
C9orf156	306	255	310	248
C9orf16	65	53	111	116
C9orf3	253	252	341	280
C9orf37	83	62	86	77
C9orf40	90	74	143	106
C9orf41	562	467	642	605
C9orf64	357	253	371	353
C9orf69	89	56	92	68
C9orf72	163	127	201	224
C9orf78	732	496	704	627
C9orf85	79	70	97	89
C9orf89	72	56	77	69
C9orf9	34	24	21	24
C9orf91	82	74	110	80
CA11	33	18	44	29
CA2	3455	2364	3187	2933
CA5B	113	97	127	104
CA8	182	93	156	157
CAAP1	398	313	455	483
CAB39	574	439	606	521
CAB39L	43	23	38	42
CABIN1	2095	2057	2608	2228
CABLES1	209	171	240	243
CABLES2	95	81	116	76
CACHD1	980	792	1061	968
CACNA1B	36	43	49	53
CACNA1C	32	30	45	35
CACNA1D	67	63	61	47
CACNA1H	193	184	242	216
CACNA2D1	510	414	544	485
CACNA2D2	80	112	135	91
CACNA2D3	161	130	212	155
CACNB2	47	49	40	51
CACNB3	32	36	41	43
CACNB4	63	64	90	75
CACTIN	363	295	342	371
CACUL1	365	280	388	336
CACYBP	3653	2457	3917	3837
CAD	2994	3136	3986	3543
CADM1	573	410	536	469
CADM4	71	56	82	72
CADPS2	480	356	528	495
CALCOCO1	237	221	287	259
CALCOCO2	673	524	661	607
CALD1	542	359	486	544
CALM1	1497	1104	1674	1744
CALM2	3839	2627	4057	3741
CALM3	1280	1014	1191	1192
CALML4	110	80	113	101
CALR	7300	5443	6779	6526
CALU	1559	1204	1637	1650
CAMK1	638	460	631	608
CAMK2D	392	296	415	320
CAMK2G	332	246	288	247
CAMK4	96	91	114	113
CAMKK1	215	163	258	193
CAMKK2	280	269	334	257
CAMKMT	102	92	125	104
CAMKV	104	86	125	101
CAMLG	568	353	529	521
CAMSAP1	1009	771	1070	930
CAMSAP2	1909	1694	2118	1912
CAMSAP3	120	111	167	137
CAMTA1	227	145	221	223
CAMTA2	116	199	231	185
CAND1	7552	5221	7924	7213
CAND2	456	389	588	490
CANT1	281	248	324	302
CANX	15563	12063	17215	17399
CAP1	1994	1346	1901	1703
CAP2	131	113	124	118
CAPG	63	42	55	47
CAPN1	357	338	382	341
CAPN10	213	158	224	198
CAPN2	2428	1770	2529	2533
CAPN7	1539	1232	1662	1552
CAPNS1	559	421	565	505
CAPRIN1	7057	5420	7164	6193
CAPRIN2	343	298	367	293
CAPZA1	2308	1574	2146	1956
CAPZA2	1087	736	1318	1252
CAPZB	782	640	913	840
CARD10	91	78	144	135
CARD8	199	146	209	200
CARHSP1	180	148	145	143
CARKD	128	103	152	116
CARM1	700	672	751	597
CARS	1065	769	1076	956
CARS2	567	409	545	478
CASC3	732	668	822	715
CASC4	542	421	551	490
CASC5	3191	2433	3310	3024
CASD1	306	224	304	274
CASK	939	739	1023	959
CASKIN1	40	33	46	42
CASKIN2	112	127	137	95
CASP2	505	582	645	621
CASP3	304	240	362	312
CASP6	210	114	204	197
CASP7	235	172	261	210
CASP8	122	126	127	129
CASP8AP2	2297	1987	2633	2453
CASP9	89	94	125	87
CAST	1363	1089	1477	1381
CASZ1	45	64	77	57
CAT	519	340	490	439
CATSPER2	35	25	53	33
CAV1	27	16	31	38
CAV2	32	20	35	22
CBFA2T2	119	120	124	115
CBFB	272	180	331	358
CBL	417	425	544	463
CBLB	132	130	159	164
CBLL1	283	238	237	201
CBR1	869	672	1077	1031
CBR3	39	23	44	57
CBR4	322	225	335	362
CBS	3658	3218	4196	3891
CBWD1	1966	1505	2264	2309
CBWD2	2167	1564	2413	2407
CBWD3	4195	3122	4799	4973
CBWD6	1894	1382	2142	2263
CBX1	540	432	634	649
CBX2	320	248	351	346
CBX3	3338	2484	4008	3972
CBX4	242	205	204	177
CBX5	835	707	956	918
CBX6	522	427	545	541
CBX8	177	122	157	156
CBY1	188	145	248	229
CC2D1A	362	423	462	405
CC2D1B	531	377	542	519
CC2D2A	273	231	293	294
CCAR1	4141	3265	4270	4007
CCBL1	101	78	103	83
CCBL2	802	619	827	769
CCDC101	215	146	202	220
CCDC102A	88	70	102	120
CCDC103	36	21	32	34
CCDC104	716	471	690	596
CCDC106	80	59	94	107
CCDC107	89	54	77	84
CCDC109B	401	284	436	364
CCDC111	188	131	208	165
CCDC112	270	221	306	259
CCDC113	68	50	78	73
CCDC115	93	75	86	88
CCDC117	457	388	570	628
CCDC12	409	286	443	434
CCDC121	43	32	59	45
CCDC122	89	62	84	82
CCDC124	530	393	524	575
CCDC125	247	227	293	268
CCDC126	74	43	83	72
CCDC127	158	149	196	169
CCDC130	176	127	124	149
CCDC132	859	528	868	797
CCDC134	160	172	220	182
CCDC136	160	163	233	196
CCDC137	290	189	340	367
CCDC138	1319	1069	1581	1463
CCDC14	1685	1224	1725	1606
CCDC142	198	181	228	211
CCDC144A	183	147	195	165
CCDC146	48	72	73	57
CCDC15	282	231	347	314
CCDC150	816	659	946	867
CCDC157	50	52	52	49
CCDC167	200	200	311	315
CCDC168	71	72	52	40
CCDC171	123	126	158	136
CCDC174	333	282	386	310
CCDC176	45	38	64	44
CCDC18	1473	1204	1602	1575
CCDC180	192	186	263	196
CCDC181	303	209	332	326
CCDC22	292	307	347	303
CCDC23	77	56	62	77
CCDC25	174	101	168	177
CCDC28A	187	154	193	227
CCDC28B	143	86	136	127
CCDC3	32	19	41	27
CCDC34	466	310	491	440
CCDC40	76	54	93	85
CCDC41	726	640	900	795
CCDC43	562	396	698	661
CCDC47	2180	1815	2623	2552
CCDC50	287	207	318	302
CCDC51	561	457	601	630
CCDC53	145	99	146	102
CCDC57	329	302	368	362
CCDC58	642	401	587	603
CCDC59	923	645	825	754
CCDC6	335	369	462	405
CCDC61	51	28	27	26
CCDC64	29	31	33	33
CCDC66	1195	933	1351	1120
CCDC69	32	29	32	44
CCDC7	32	28	30	30
CCDC71	378	330	420	390
CCDC74A	120	97	120	121
CCDC74B	91	73	91	87
CCDC77	388	336	430	393
CCDC8	311	229	359	373
CCDC80	53	36	37	30
CCDC82	316	273	416	402
CCDC84	129	146	130	125
CCDC85B	90	72	177	183
CCDC85C	156	129	205	217
CCDC86	691	807	907	865
CCDC88A	2384	2180	2844	2629
CCDC88C	247	256	334	317
CCDC9	70	61	79	85
CCDC90B	384	270	349	346
CCDC91	405	291	443	421
CCDC92	66	83	122	92
CCDC93	684	548	810	747
CCDC94	314	217	255	274
CCDC97	97	116	151	112
CCHCR1	517	373	504	501
CCM2	198	184	232	193
CCNA2	2899	1974	2933	2789
CCNB1	5727	3927	5792	5618
CCNB1IP1	560	396	527	408
CCNB2	1283	943	1309	1166
CCNB3	55	44	63	34
CCNC	1168	743	1158	1070
CCND1	110	89	118	131
CCND2	278	266	356	361
CCND3	175	162	185	176
CCNDBP1	367	262	388	357
CCNE1	448	266	455	396
CCNE2	556	386	558	451
CCNF	1065	818	1092	1037
CCNG1	2872	1990	3302	3073
CCNG2	245	216	292	296
CCNH	905	698	1045	941
CCNI	1644	1876	2339	2031
CCNJ	391	284	369	313
CCNK	261	391	408	329
CCNL1	1077	761	894	756
CCNL2	1182	924	1261	1217
CCNT1	926	684	787	688
CCNT2	825	578	743	623
CCNY	391	267	346	355
CCNYL1	81	88	99	118
CCP110	1111	977	1366	1251
CCPG1	567	379	555	481
CCRN4L	327	235	298	230
CCS	173	136	143	156
CCSAP	225	157	266	256
CCSER1	230	189	240	228
CCSER2	556	485	653	625
CCT2	11687	7832	11751	11156
CCT3	16512	11759	16312	14958
CCT4	13828	9803	14477	13543
CCT5	10509	7196	10200	9505
CCT6A	10304	6883	10500	9756
CCT7	12737	9081	13048	13084
CCT8	10151	6879	11202	10771
CCZ1	1631	1135	1567	1425
CCZ1B	1607	1137	1546	1410
CD101	59	58	73	79
CD109	331	303	465	380
CD151	557	346	500	349
CD164	751	591	676	608
CD276	357	393	447	407
CD2AP	1156	854	1236	1225
CD2BP2	1041	743	1089	1152
CD320	630	458	779	668
CD3EAP	660	485	659	638
CD46	1079	799	1182	1097
CD47	673	456	708	680
CD55	598	489	714	636
CD58	92	64	83	51
CD59	409	284	418	380
CD63	1269	848	1313	1390
CD81	1096	887	1158	1005
CD83	62	35	42	43
CD9	153	153	163	175
CD97	45	41	83	43
CD99	894	632	1054	1006
CD99L2	263	165	289	256
CDADC1	141	101	150	151
CDAN1	221	184	221	193
CDC123	2460	1627	2273	1985
CDC14A	91	60	92	56
CDC14B	336	268	403	347
CDC16	725	700	995	938
CDC20	2782	2211	3051	2781
CDC23	1259	898	1354	1250
CDC25A	1713	1243	1589	1497
CDC25B	220	247	321	271
CDC25C	362	283	446	363
CDC26	217	158	268	237
CDC27	2740	1934	2478	2068
CDC34	453	325	446	440
CDC37	2971	2047	2792	2833
CDC37L1	116	88	125	132
CDC40	820	607	970	882
CDC42	2327	1626	2411	2300
CDC42BPA	3037	2690	3697	3597
CDC42BPB	1274	1346	1777	1622
CDC42EP1	259	221	289	235
CDC42EP2	65	65	68	54
CDC42EP3	45	32	51	33
CDC42EP4	79	89	103	99
CDC42SE1	220	161	215	186
CDC42SE2	40	42	50	47
CDC45	1880	1307	1864	1771
CDC5L	4073	2823	4036	3867
CDC6	2102	1562	1972	1760
CDC7	1827	1307	1933	1803
CDC73	1169	904	1258	1254
CDCA2	1228	1012	1337	1330
CDCA3	461	340	453	407
CDCA4	398	296	390	380
CDCA5	355	242	343	336
CDCA7	922	737	1009	1059
CDCA7L	639	517	756	708
CDCA8	560	473	481	451
CDH2	645	529	638	569
CDH23	47	68	48	43
CDH24	66	47	49	40
CDHR1	41	24	45	27
CDIP1	73	54	78	80
CDIPT	294	174	200	167
CDK1	2526	1678	2429	2070
CDK10	209	132	217	189
CDK11B	789	562	769	728
CDK12	2353	2321	2717	2291
CDK13	1544	1406	1810	1553
CDK14	200	155	227	211
CDK16	2304	1907	2067	1665
CDK17	363	287	369	357
CDK18	31	27	36	31
CDK19	98	67	105	85
CDK2	904	651	766	805
CDK20	57	64	72	69
CDK2AP1	303	206	350	325
CDK2AP2	55	56	66	74
CDK3	39	31	36	31
CDK4	2325	1751	2146	2030
CDK5	327	245	333	310
CDK5R1	38	28	31	17
CDK5RAP1	633	537	716	636
CDK5RAP2	2073	1887	2534	2327
CDK5RAP3	899	743	962	997
CDK6	208	170	216	203
CDK7	468	303	444	418
CDK8	315	221	342	296
CDK9	270	227	311	275
CDKAL1	936	738	931	917
CDKL1	41	43	55	55
CDKL2	35	31	44	45
CDKL5	103	105	105	101
CDKN1A	82	65	63	77
CDKN1B	170	141	170	162
CDKN2A	344	342	594	606
CDKN2AIP	371	237	339	246
CDKN2AIPNL	101	67	124	82
CDKN2B	33	36	56	51
CDKN2C	346	230	340	313
CDKN3	438	321	461	395
CDON	464	411	552	420
CDR2	338	276	374	335
CDR2L	113	93	140	151
CDRT4	48	41	40	47
CDS1	190	149	223	181
CDS2	555	439	560	482
CDT1	608	623	721	633
CDV3	972	626	949	936
CDX2	89	64	109	86
CDYL	761	555	735	650
CEBPA	25	24	36	39
CEBPB	39	15	47	35
CEBPG	391	302	381	347
CEBPZ	3676	2801	4127	3887
CECR2	339	339	397	388
CECR5	990	733	937	873
CELF1	1330	1100	1393	1220
CELF2	71	90	93	90
CELSR1	413	502	655	527
CELSR2	347	487	550	396
CELSR3	988	934	1147	904
CENPA	94	78	83	102
CENPB	973	718	1018	1042
CENPC1	1161	875	1222	1030
CENPE	5440	4280	5476	5382
CENPF	16668	13130	17931	17450
CENPH	722	480	796	822
CENPI	1113	872	1188	1104
CENPJ	975	766	1034	986
CENPK	398	324	436	440
CENPL	333	222	290	256
CENPM	227	212	289	283
CENPN	734	503	738	721
CENPO	324	309	399	339
CENPP	186	165	221	211
CENPQ	256	185	292	310
CENPT	639	475	566	529
CENPV	756	526	802	749
CENPW	525	375	661	673
CEP104	698	644	746	751
CEP112	309	350	440	415
CEP120	598	479	622	584
CEP128	786	710	833	818
CEP135	1086	899	1214	1203
CEP152	1287	1060	1497	1425
CEP164	706	635	796	775
CEP170	2933	2418	3283	2962
CEP170B	495	500	613	522
CEP19	24	17	27	44
CEP192	1901	1559	2183	1970
CEP250	1473	1361	1802	1702
CEP290	2225	1786	2319	2418
CEP350	4474	3568	4902	4440
CEP41	123	94	131	114
CEP44	331	247	399	419
CEP55	1040	765	1108	954
CEP57	975	780	1064	1007
CEP57L1	332	237	353	264
CEP63	262	193	260	213
CEP68	302	246	346	285
CEP70	406	282	440	410
CEP72	319	325	418	353
CEP76	287	201	291	300
CEP78	1374	1015	1580	1469
CEP85	946	771	1028	911
CEP85L	486	402	524	475
CEP89	158	130	154	142
CEP95	786	616	972	892
CEP97	876	598	898	821
CEPT1	698	439	615	482
CERCAM	304	260	350	346
CERK	708	497	664	575
CERS1	63	36	66	54
CERS2	1053	728	957	766
CERS4	73	61	78	80
CERS5	194	152	237	172
CERS6	422	374	506	428
CES2	354	280	383	356
CES3	101	106	120	106
CETN2	432	328	517	507
CETN3	393	250	388	380
CFD	23	29	52	41
CFDP1	1060	693	1040	1059
CFL1	4573	3578	4898	4974
CFL2	351	247	373	376
CFLAR	161	144	215	188
CGGBP1	625	476	568	517
CGN	284	249	342	284
CGNL1	51	43	56	30
CGRRF1	207	158	179	169
CHAC2	306	158	322	324
CHAF1A	2015	1716	2147	2120
CHAF1B	1083	843	1051	930
CHAMP1	257	354	353	337
CHCHD1	201	144	278	273
CHCHD10	75	37	93	74
CHCHD2	2564	1662	2400	2078
CHCHD3	1003	802	1249	1302
CHCHD4	311	203	300	280
CHCHD5	61	28	80	52
CHCHD6	235	179	240	222
CHCHD7	389	321	464	473
CHD1	4314	3173	4379	4217
CHD1L	2511	2036	2993	2737
CHD2	2005	1643	2082	2004
CHD3	2024	1749	2231	2105
CHD4	8564	7231	9749	9242
CHD6	1915	1562	2184	1969
CHD7	2202	2159	2887	2516
CHD8	4419	4028	5319	4665
CHD9	1955	1604	2307	1996
CHDH	231	164	210	186
CHEK1	1051	784	1135	1043
CHEK2	755	543	759	743
CHERP	223	353	423	297
CHFR	161	127	197	158
CHIC1	44	26	44	39
CHIC2	96	67	105	121
CHID1	531	480	558	528
CHKA	291	260	290	280
CHKB	223	176	268	245
CHM	436	359	452	417
CHML	1125	839	1160	1131
CHMP1A	384	297	414	423
CHMP1B	204	190	245	263
CHMP2A	363	324	443	440
CHMP2B	710	557	696	674
CHMP4B	452	378	564	549
CHMP4C	23	30	30	37
CHMP5	934	632	1069	1149
CHMP6	102	70	108	96
CHMP7	383	284	426	360
CHN1	331	237	366	359
CHN2	45	36	58	44
CHORDC1	1320	993	1301	1241
CHP1	158	133	144	133
CHPF	186	195	250	236
CHPF2	343	299	333	299
CHPT1	721	514	821	736
CHRAC1	91	77	95	91
CHRFAM7A	61	56	79	67
CHRNA5	836	621	863	772
CHRNA7	73	64	85	77
CHST10	317	237	296	259
CHST11	67	49	56	59
CHST12	126	129	152	148
CHST14	52	49	87	67
CHST15	81	70	96	93
CHST2	41	38	57	50
CHST3	30	25	38	38
CHST7	33	23	52	36
CHSY1	848	716	881	899
CHSY3	113	81	138	104
CHTF18	805	634	765	683
CHTF8	154	126	145	99
CHTOP	832	646	872	925
CHUK	1812	1327	1969	1827
CHURC1-FNTB	457	346	576	527
CIAO1	938	683	921	916
CIAPIN1	803	615	869	885
CIB1	345	271	349	280
CIB2	56	28	61	48
CIC	396	479	536	416
CILP2	50	53	65	54
CINP	395	279	478	443
CIR1	403	268	349	340
CIRBP	748	470	650	656
CIRH1A	919	1039	1139	1027
CISD1	177	119	160	139
CISD2	462	321	545	487
CISD3	42	25	28	19
CIT	1060	1073	1343	1244
CITED1	170	113	123	127
CITED2	75	62	62	60
CIZ1	1033	1062	1225	1036
CKAP2	3465	2762	3763	3508
CKAP2L	717	617	824	722
CKAP4	798	605	856	737
CKAP5	8924	7554	9923	9372
CKB	5561	4028	4488	3790
CKMT1A	1152	987	1297	1308
CKMT1B	1155	1000	1293	1308
CKS1B	501	329	503	514
CKS2	968	648	953	771
CLASP1	1105	1015	1378	1195
CLASP2	2786	2081	2854	2520
CLASRP	306	260	332	285
CLCC1	1018	803	1210	1138
CLCN2	71	55	79	92
CLCN3	1168	857	1116	1044
CLCN5	263	204	302	263
CLCN6	159	176	220	188
CLCN7	373	372	454	309
CLDN12	163	82	139	111
CLDN15	56	26	38	40
CLDND1	682	491	682	600
CLEC16A	391	432	443	424
CLGN	505	330	522	566
CLHC1	71	61	81	73
CLIC1	1841	1307	1810	1729
CLIC4	666	466	736	707
CLINT1	1679	1165	1469	1318
CLIP1	1026	890	1215	1096
CLIP2	47	33	60	44
CLIP4	280	191	351	311
CLK1	1069	755	1103	1150
CLK2	710	584	763	654
CLK3	546	375	528	477
CLK4	375	289	404	433
CLMN	110	100	143	151
CLN3	176	127	155	134
CLN5	257	201	266	229
CLN6	477	332	378	288
CLN8	81	48	78	63
CLNS1A	1831	1288	2205	2139
CLOCK	373	311	394	317
CLP1	387	277	366	323
CLPB	1341	1130	1507	1366
CLPP	552	338	449	414
CLPTM1	796	834	863	767
CLPTM1L	1890	1292	1822	1800
CLPX	820	568	924	856
CLSPN	2898	2411	3141	2929
CLSTN1	1012	1032	1341	1209
CLSTN3	159	138	173	127
CLTA	1329	987	1633	1538
CLTB	536	363	540	566
CLTC	14921	12084	17455	15697
CLTCL1	586	535	700	616
CLU	119	76	109	104
CLUAP1	287	183	278	293
CLUH	1585	1609	1900	1629
CLYBL	44	46	71	47
CMAS	858	673	1044	1104
CMBL	100	97	160	142
CMC1	198	129	183	191
CMC2	130	105	129	166
CMC4	146	72	135	153
CMIP	87	163	172	151
CMPK1	520	355	650	599
CMSS1	1280	889	1343	1195
