	ribo_untr_a	ribo_untr_b	ribo_tm_a	ribo_tm_b
ATP5F1C	5808	6445	2823	1879
ATP5F1D	916	1338	483	286
ATP5F1E	1514	1620	580	512
ATP5IF1	2168	2758	1210	779
ATP5MC1	1364	1665	913	567
ATP5MC2	3833	5194	1970	1302
ATP5MC3	5489	6555	3044	1823
ATP5MD	928	1206	573	398
ATP5ME	2091	2378	1049	646
ATP5MF	2122	2398	1636	716
ATP5MF-PTCD1	34	38	31	22
ATP5MG	382	518	171	101
ATP5MPL	2192	2721	1531	1110
ATP5PB	2983	3320	1292	963
ATP5PD	1218	1695	688	460
ATP5PF	2489	2719	1560	1020
ATP5PO	1755	1965	670	443
ATP6AP1	2907	3452	1390	752
ATP6AP2	2303	2452	1017	642
ATP6V0A1	1062	1342	560	370
ATP6V0A2	812	935	428	258
ATP6V0B	1953	2757	1113	667
ATP6V0C	1346	1820	667	364
ATP6V0D1	1472	1919	758	502
ATP6V0E1	372	527	268	160
ATP6V0E2	480	629	342	181
ATP6V1A	2486	3254	1441	943
ATP6V1B1	59	55	29	14
ATP6V1B2	1592	1897	770	528
ATP6V1C1	901	1007	386	270
ATP6V1C2	33	32	5	6
